public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
20000131,Communication Services,132,0.094662,-0.020614,0.067,-0.027,0.227,-5.195,2.11%,6.368,-2.275,-4.346,-3.704,-5.845,-5.931,3.723,4.681,0.398,0.179,0.045,-0.03,-0.012,0.363,-0.206,-0.085,0.072,-0.069,-0.068,-0.21,0.045,-0.047,-0.272,0.572,0.366,0.56,0.623,0.022,0.372,-0.04,-0.04,0.01,0.166,-0.044,0.049,0.199,0.242,0.626,0.939,0.096,0.092,0.655,1.989,1.279,0.672,0.472,0.631,-0.468,-0.597,31.352,0.644,1.611,1.449,0.454,15.996,4.772,6.007,1.332,0.54,2.211,0.082,0,0,0
20000131,Consumer Discretionary,1176,0.00138,-0.083494,0,0.112,0.662,10.022,1.75%,7.163,4.674,7.211,6.799,7.474,7.639,0.483,1.36,0.381,0.383,0.081,0.079,0.068,0.307,0.024,0.057,0.09,0.104,0.156,0.037,0.123,0.109,0.077,0.27,0.699,0.27,0.397,0.344,0.303,0.296,0.278,0.114,0.07,0.057,0.169,0.487,0.572,1.612,0.354,0.1,0.08,0.34,2.208,1.078,0.538,0.262,0.461,2.155,2.721,84.064,0.162,1.768,1,1.371,4.659,10.013,8.325,3.064,1.986,5.574,0.048,0,0,0
20000131,Consumer Staples,268,0.022084,-0.061505,0.067,0.172,0.571,13.706,2.23%,8.483,7.114,9.685,9.701,9.91,10.146,0.514,1.595,0.375,0.486,0.103,0.1,0.09,0.352,0.024,0.056,0.085,0.117,0.181,0.037,0.139,0.126,0.099,0.364,0.607,0.366,0.498,0.437,0.327,0.313,0.328,0.139,0.046,0.059,0.159,0.582,0.474,1.864,0.53,0.097,0.076,0.404,1.721,1.39,0.594,0.327,0.517,2.453,3.471,64.172,0.113,1.607,0.881,1.433,5.528,9.827,10.811,4.062,2.318,8.309,0.042,0,0,0
20000131,Energy,217,0.094079,-0.003677,0,-0.005,0.6,10.695,1.96%,8.168,6.284,-2.141,-2.141,-1.327,-1.313,1.844,1.511,0.325,0.141,-0.036,-0.028,0.012,0.283,-0.029,0.006,0.146,0,0.002,-0.04,0.089,0.001,-0.03,0.393,0.584,0.392,0.457,0.058,0.498,-0.418,0.481,0.131,0.05,0.121,0.047,0.552,0.289,2.252,0.608,0.087,0.079,0.55,0.79,1.223,0.571,0.34,0.506,0.413,0.079,40.931,0.2,1.282,1.063,0.379,15.612,5.854,5.176,0.895,0.467,6.896,0.102,0,0,0
20000131,Financials,1157,-0.025069,-0.041814,0,0.412,0.734,14.673,2.93%,10.472,1.753,9.896,9.828,9.615,9.852,1.359,1.222,0.344,0.047,0.114,0.114,0,0.498,0.112,0.261,0.291,0.102,0.229,0.167,0.029,0.11,0.111,0.338,0.652,0.336,0.589,0,0.344,0.904,0.209,0.022,0.058,0.15,0.284,0.475,0.578,3.558,0.502,0.088,0.073,0.082,54.291,8.309,0.893,0.134,0.891,2.091,2.6,288.88,0.529,1.597,1.5,0.092,10.562,0.06,0.158,1.007,0.574,5.499,-0.005,0,0,0.167
20000131,Health Care,766,0.208166,0.073297,0,0.009,0.368,-3.491,1.17%,3.889,-1.539,-2.664,-2.638,-1.721,-1.744,3.059,3.374,0.36,0.217,-0.069,-0.071,0,0.305,-0.043,-0.012,0.019,-0.034,-0.042,-0.047,0.012,-0.026,-0.095,0.084,0.868,0.085,0.154,0.067,0.258,0.396,-0.076,-0.057,0.743,0.003,0.254,0.023,0.712,0,0.087,0.109,0.083,0.204,2.208,0.507,0.358,0.12,0.249,-0.178,0.376,94.225,1.181,2.835,2.238,0.737,4.174,9.039,5.311,1.213,0.971,2.146,0.044,0.081,0,0
20000131,Industrials,959,0.032979,-0.092093,0,0.165,0.685,12.844,2.01%,7.001,5.326,8.812,8.628,8.921,9.036,0.555,1.435,0.38,0.324,0.105,0.101,0.083,0.288,0.033,0.072,0.106,0.119,0.172,0.051,0.135,0.126,0.099,0.262,0.72,0.262,0.375,0.222,0.451,0.388,0.294,0.131,0.077,0.072,0.167,0.525,0.538,1.452,0.346,0.093,0.074,0.332,2.147,1.127,0.539,0.236,0.425,3.061,4.283,78.158,0.172,1.843,1.317,1.181,5.731,10.31,5.997,2.649,1.769,5.493,0.04,0,0,0
20000131,Information Technology,1400,0.108877,-0.05689,0,0.155,0.293,9.502,0.93%,5.57,4.836,-3.037,-3.35,-1.751,-1.82,3.864,5.437,0.353,0.427,0.011,-0.025,0,0.446,-0.025,-0.006,0.033,-0.009,0.008,-0.023,0.042,0.021,-0.01,0.02,0.951,0.02,0.063,0.08,0.303,0.535,0.062,0.03,0.863,0.03,0.419,0.138,0.878,0,0.015,0.154,0.089,0.054,3.116,0.468,0.337,0.048,0.178,-2.04,-1.177,83.157,1.127,2.665,2.224,0.956,4.783,7.032,5.041,1.522,1.309,2.34,0.06,0.118,0,0
20000131,Materials,284,-0.015934,-0.10322,0.173,0.199,0.78,11.094,2.25%,7.043,5.301,8.922,8.753,9.02,9.141,0.564,1.273,0.369,0.243,0.079,0.08,0.076,0.254,0.032,0.077,0.126,0.094,0.123,0.051,0.121,0.1,0.076,0.406,0.584,0.394,0.479,0.378,0.408,0.358,0.37,0.136,0.037,0.082,0.119,0.57,0.346,2.418,0.601,0.085,0.072,0.425,1.412,1.523,0.606,0.318,0.513,2.293,2.93,80.965,0.104,1.816,1.091,0.95,5.217,9.176,6.837,2.547,1.407,5.825,0.054,0,0,0
20000131,Utilities,153,0.030128,0.096374,0.037,0.946,0.792,16.48,4.89%,8.148,6.389,12.141,12.07,12.327,12.552,1.087,1.194,0.358,0.116,0.113,0.112,0.084,0.262,0.074,0.156,0.254,0.095,0.119,0.114,0.115,0.111,0.084,0.496,0.484,0.492,0.609,0.161,0.446,0.313,0.466,0.107,0.022,0.162,0.162,0.73,0.215,3.327,0.761,0.083,0.07,0.459,1,2.172,0.684,0.384,0.574,2.239,2.78,29.75,0.092,0.839,0.662,0.435,15.269,10.076,8.972,1.468,0.695,21.209,0.037,0,0,0
